Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Ken Whisenhunt,2010,ARI,16,5,11,0,96,45,51,0,119,48,71,0,0,0,0,6,4,2,6,4,2,
Mike Smith,2010,ATL,16,13,3,0,112,66,46,0,112,66,46,0,1,0,1,5,1,4,5,1,4,
John Harbaugh,2010,BAL,16,12,4,0,192,118,74,0,192,118,74,0,2,1,1,17,10,7,17,10,7,
Chan Gailey,2010,BUF,16,4,12,0,48,16,32,0,80,34,46,0,0,0,0,0,0,0,2,0,2,
John Fox,2010,CAR,16,2,14,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,
Lovie Smith,2010,CHI,16,11,5,0,144,81,63,0,176,89,87,0,2,1,1,6,3,3,6,3,3,
Marvin Lewis,2010,CIN,16,4,12,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,
Eric Mangini,2010,CLE,16,5,11,0,32,10,22,0,80,33,47,0,0,0,0,0,0,0,1,0,1,
Jason Garrett,2010,DAL,8,5,3,0,152,85,67,0,152,85,67,0,0,0,0,5,2,3,5,2,3,Coach starting Week 10
Wade Phillips,2010,DAL,8,1,7,0,56,34,22,0,146,82,64,0,0,0,0,3,1,2,6,1,5,Fired after Week 9
Josh McDaniels,2010,DEN,12,3,9,0,28,11,17,0,28,11,17,0,0,0,0,0,0,0,0,0,0,Fired after Week 13
Eric Studesville,2010,DEN,4,1,3,0,4,1,3,0,4,1,3,0,0,0,0,0,0,0,0,0,0,Coach starting Week 14
Jim Schwartz,2010,DET,16,6,10,0,80,29,51,0,80,29,51,0,0,0,0,1,0,1,1,0,1,
Mike McCarthy,2010,GNB,16,10,6,0,204,125,77,2,204,125,77,2,4,4,0,18,10,8,18,10,8,Super Bowl Champions
Gary Kubiak,2010,HOU,16,6,10,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,
Jim Caldwell,2010,IND,16,10,6,0,48,26,22,0,112,62,50,0,1,0,1,4,2,2,6,2,4,
Jack Del Rio,2010,JAX,16,8,8,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,
Todd Haley,2010,KAN,16,10,6,0,45,19,26,0,45,19,26,0,1,0,1,1,0,1,1,0,1,
Tony Sparano,2010,MIA,16,7,9,0,61,29,32,0,73,32,41,0,0,0,0,1,0,1,1,0,1,
Brad Childress,2010,MIN,10,3,7,0,74,39,35,0,74,39,35,0,0,0,0,3,1,2,3,1,2,Fired after Week 11
Leslie Frazier,2010,MIN,6,3,3,0,54,21,32,1,54,21,32,1,0,0,0,1,0,1,1,0,1,Coach starting Week 12
Sean Payton,2010,NOR,16,11,5,0,208,131,77,0,208,131,77,0,1,0,1,15,8,7,15,8,7,
Bill Belichick,2010,NWE,16,14,2,0,320,237,83,0,400,273,127,0,1,0,1,41,30,11,43,31,12,
Tom Coughlin,2010,NYG,16,10,6,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
Rex Ryan,2010,NYJ,16,11,5,0,96,46,50,0,127,61,66,0,3,2,1,6,4,2,6,4,2,
Tom Cable,2010,OAK,16,8,8,0,44,17,27,0,44,17,27,0,0,0,0,0,0,0,0,0,0,
Andy Reid,2010,PHI,16,10,6,0,224,130,93,1,336,207,128,1,1,0,1,19,10,9,29,15,14,
Mike Tomlin,2010,PIT,16,12,4,0,208,133,74,1,208,133,74,1,3,2,1,15,8,7,15,8,7,AFC Champions
Norv Turner,2010,SDG,16,9,7,0,96,56,40,0,237,114,122,1,0,0,0,6,3,3,8,4,4,
Pete Carroll,2010,SEA,16,7,9,0,160,100,59,1,224,133,90,1,2,1,1,17,10,7,20,11,9,
Mike Singletary,2010,SFO,15,5,10,0,40,18,22,0,40,18,22,0,0,0,0,0,0,0,0,0,0,Fired after Week 16
Jim Tomsula,2010,SFO,1,1,0,0,17,6,11,0,17,6,11,0,0,0,0,0,0,0,0,0,0,Coach starting Week 17
Steve Spagnuolo,2010,STL,16,7,9,0,48,10,38,0,52,11,41,0,0,0,0,0,0,0,0,0,0,
Raheem Morris,2010,TAM,16,10,6,0,48,17,31,0,48,17,31,0,0,0,0,0,0,0,0,0,0,
Jeff Fisher,2010,TEN,16,6,10,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,
Mike Shanahan,2010,WAS,16,6,10,0,64,24,40,0,308,170,138,0,0,0,0,1,0,1,14,8,6,
