Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Bruce Arians,2014,ARI,16,11,5,0,80,49,30,1,96,56,39,1,1,0,1,3,1,2,3,1,2,
Mike Smith,2014,ATL,16,6,10,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,
John Harbaugh,2014,BAL,16,10,6,0,192,118,74,0,192,118,74,0,2,1,1,17,10,7,17,10,7,
Doug Marrone,2014,BUF,16,9,7,0,32,15,17,0,82,37,45,0,0,0,0,0,0,0,3,2,1,
Ron Rivera,2014,CAR,16,7,8,1,140,76,63,1,140,76,63,1,2,1,1,7,3,4,7,3,4,
Marc Trestman,2014,CHI,16,5,11,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,
Marvin Lewis,2014,CIN,16,10,5,1,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Mike Pettine,2014,CLE,16,7,9,0,32,10,22,0,32,10,22,0,0,0,0,0,0,0,0,0,0,
Jason Garrett,2014,DAL,16,12,4,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,
John Fox,2014,DEN,16,12,4,0,64,46,18,0,256,133,123,0,1,0,1,7,3,4,15,8,7,
Jim Caldwell,2014,DET,16,11,5,0,64,36,28,0,112,62,50,0,1,0,1,2,0,2,6,2,4,
Mike McCarthy,2014,GNB,16,12,4,0,204,125,77,2,204,125,77,2,2,1,1,18,10,8,18,10,8,
Bill O'Brien,2014,HOU,16,9,7,0,96,52,44,0,96,52,44,0,0,0,0,6,2,4,6,2,4,
Chuck Pagano,2014,IND,16,11,5,0,96,53,43,0,96,53,43,0,3,2,1,6,3,3,6,3,3,
Gus Bradley,2014,JAX,16,3,13,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,
Andy Reid,2014,KAN,16,9,7,0,112,77,35,0,336,207,128,1,0,0,0,10,5,5,29,15,14,
Joe Philbin,2014,MIA,16,8,8,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,
Mike Zimmer,2014,MIN,16,7,9,0,96,57,38,1,96,57,38,1,0,0,0,5,2,3,5,2,3,
Sean Payton,2014,NOR,16,7,9,0,208,131,77,0,208,131,77,0,0,0,0,15,8,7,15,8,7,
Bill Belichick,2014,NWE,16,12,4,0,320,237,83,0,400,273,127,0,3,3,0,41,30,11,43,31,12,Super Bowl Champions
Tom Coughlin,2014,NYG,16,6,10,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
Rex Ryan,2014,NYJ,16,4,12,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,
Dennis Allen,2014,OAK,4,0,4,0,36,8,28,0,36,8,28,0,0,0,0,0,0,0,0,0,0,Fired after week 4
Tony Sparano,2014,OAK,12,3,9,0,12,3,9,0,73,32,41,0,0,0,0,0,0,0,1,0,1,
Chip Kelly,2014,PHI,16,10,6,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,
Mike Tomlin,2014,PIT,16,11,5,0,208,133,74,1,208,133,74,1,1,0,1,15,8,7,15,8,7,
Mike McCoy,2014,SDG,16,9,7,0,64,27,37,0,64,27,37,0,0,0,0,2,1,1,2,1,1,
Pete Carroll,2014,SEA,16,12,4,0,160,100,59,1,224,133,90,1,3,2,1,17,10,7,20,11,9,NFC Champions
Jim Harbaugh,2014,SFO,16,8,8,0,64,44,19,1,64,44,19,1,0,0,0,8,5,3,8,5,3,
Jeff Fisher,2014,STL,16,6,10,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,
Lovie Smith,2014,TAM,16,2,14,0,32,8,24,0,176,89,87,0,0,0,0,0,0,0,6,3,3,
Ken Whisenhunt,2014,TEN,16,2,14,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,
Jay Gruden,2014,WAS,16,4,12,0,85,35,49,1,85,35,49,1,0,0,0,1,0,1,1,0,1,
