Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Kliff Kingsbury,2019,ARI,16,5,10,1,16,5,10,1,16,5,10,1,,,,,,,,,,
Dan Quinn,2019,ATL,16,7,9,0,80,43,37,0,80,43,37,0,,,,5,3,2,5,3,2,
John Harbaugh,2019,BAL,16,14,2,0,192,118,74,0,192,118,74,0,1,0,1,17,10,7,17,10,7,
Sean McDermott,2019,BUF,16,10,6,0,48,25,23,0,48,25,23,0,1,0,1,2,0,2,2,0,2,
Perry Fewell,2019,CAR,4,0,4,0,4,0,4,0,11,3,8,0,,,,,,,0,0,0,Interim coach as of Week 13
Ron Rivera,2019,CAR,12,5,7,0,140,76,63,1,140,76,63,1,,,,7,3,4,7,3,4,Fired after Week 13
Matt Nagy,2019,CHI,16,8,8,0,32,20,12,0,32,20,12,0,,,,1,0,1,1,0,1,
Zac Taylor,2019,CIN,16,2,14,0,16,2,14,0,16,2,14,0,,,,,,,,,,
Freddie Kitchens,2019,CLE,16,6,10,0,16,6,10,0,16,6,10,0,,,,,,,,,,
Jason Garrett,2019,DAL,16,8,8,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,
Vic Fangio,2019,DEN,16,7,9,0,16,7,9,0,16,7,9,0,,,,,,,,,,
Matt Patricia,2019,DET,16,3,12,1,32,9,22,1,32,9,22,1,,,,,,,,,,
Matt LaFleur,2019,GNB,16,13,3,0,16,13,3,0,16,13,3,0,2,1,1,2,1,1,2,1,1,
Bill O'Brien,2019,HOU,16,10,6,0,96,52,44,0,96,52,44,0,2,1,1,6,2,4,6,2,4,
Frank Reich,2019,IND,16,7,9,0,32,17,15,0,32,17,15,0,,,,2,1,1,2,1,1,
Doug Marrone,2019,JAX,16,6,10,0,50,22,28,0,82,37,45,0,,,,3,2,1,3,2,1,
Andy Reid,2019,KAN,16,12,4,0,112,77,35,0,336,207,128,1,3,3,0,10,5,5,29,15,14,
Anthony Lynn,2019,LAC,16,5,11,0,48,26,22,0,49,26,23,0,,,,2,1,1,2,1,1,
Sean McVay,2019,LAR,16,9,7,0,48,33,15,0,48,33,15,0,,,,4,2,2,4,2,2,
Brian Flores,2019,MIA,16,5,11,0,16,5,11,0,16,5,11,0,,,,,,,,,,
Mike Zimmer,2019,MIN,16,10,6,0,96,57,38,1,96,57,38,1,2,1,1,5,2,3,5,2,3,
Sean Payton,2019,NOR,16,13,3,0,208,131,77,0,208,131,77,0,1,0,1,15,8,7,15,8,7,
Bill Belichick,2019,NWE,16,12,4,0,320,237,83,0,400,273,127,0,1,0,1,41,30,11,43,31,12,
Pat Shurmur,2019,NYG,16,4,12,0,32,9,23,0,65,19,46,0,,,,,,,0,0,0,
Adam Gase,2019,NYJ,16,7,9,0,16,7,9,0,64,30,34,0,,,,,,,1,0,1,
Jon Gruden,2019,OAK,16,7,9,0,96,49,47,0,208,106,102,0,,,,4,2,2,9,5,4,
Doug Pederson,2019,PHI,16,9,7,0,64,38,26,0,64,38,26,0,1,0,1,6,4,2,6,4,2,
Mike Tomlin,2019,PIT,16,8,8,0,208,133,74,1,208,133,74,1,,,,15,8,7,15,8,7,
Pete Carroll,2019,SEA,16,11,5,0,160,100,59,1,224,133,90,1,2,1,1,17,10,7,20,11,9,
Kyle Shanahan,2019,SFO,16,13,3,0,48,23,25,0,48,23,25,0,3,2,1,3,2,1,3,2,1,
Bruce Arians,2019,TAM,16,7,9,0,16,7,9,0,96,56,39,1,,,,,,,3,1,2,
Mike Vrabel,2019,TEN,16,9,7,0,32,18,14,0,32,18,14,0,3,2,1,3,2,1,3,2,1,
Bill Callahan,2019,WAS,11,3,8,0,11,3,8,0,43,18,25,0,,,,,,,3,2,1,Interim coach after Week 5
Jay Gruden,2019,WAS,5,0,5,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,Fired after Week 5
