Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Bruce Arians,2016,ARI,16,7,8,1,80,49,30,1,96,56,39,1,,,,3,1,2,3,1,2,
Dan Quinn,2016,ATL,16,11,5,0,80,43,37,0,80,43,37,0,3,2,1,5,3,2,5,3,2,NFC Champions
John Harbaugh,2016,BAL,16,8,8,0,192,118,74,0,192,118,74,0,,,,17,10,7,17,10,7,
Anthony Lynn,2016,BUF,1,0,1,0,1,0,1,0,49,26,23,0,0,0,0,0,0,0,2,1,1,Promoted to Head Coach after Week 16
Rex Ryan,2016,BUF,15,7,8,0,31,15,16,0,127,61,66,0,0,0,0,0,0,0,6,4,2,Fired after Week 16
Ron Rivera,2016,CAR,16,6,10,0,140,76,63,1,140,76,63,1,,,,7,3,4,7,3,4,
John Fox,2016,CHI,16,3,13,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
Marvin Lewis,2016,CIN,16,6,9,1,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
Hue Jackson,2016,CLE,16,1,15,0,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
Jason Garrett,2016,DAL,16,13,3,0,152,85,67,0,152,85,67,0,1,0,1,5,2,3,5,2,3,
Gary Kubiak,2016,DEN,16,9,7,0,32,21,11,0,157,82,75,0,,,,3,3,0,7,5,2,
Jim Caldwell,2016,DET,16,9,7,0,64,36,28,0,112,62,50,0,1,0,1,2,0,2,6,2,4,
Mike McCarthy,2016,GNB,16,10,6,0,204,125,77,2,204,125,77,2,3,2,1,18,10,8,18,10,8,
Bill O'Brien,2016,HOU,16,9,7,0,96,52,44,0,96,52,44,0,2,1,1,6,2,4,6,2,4,
Chuck Pagano,2016,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
Doug Marrone,2016,JAX,2,1,1,0,50,22,28,0,82,37,45,0,,,,3,2,1,3,2,1,Hired after week 14
Gus Bradley,2016,JAX,14,2,12,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,
Andy Reid,2016,KAN,16,12,4,0,112,77,35,0,336,207,128,1,1,0,1,10,5,5,29,15,14,
John Fassel,2016,LAR,3,0,3,0,3,0,3,0,3,0,3,0,,,,,,,,,,Promoted to Head Coach after Week 14
Jeff Fisher,2016,LAR,13,4,9,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,Fired after Week 14
Adam Gase,2016,MIA,16,10,6,0,48,23,25,0,64,30,34,0,1,0,1,1,0,1,1,0,1,
Mike Zimmer,2016,MIN,16,8,8,0,96,57,38,1,96,57,38,1,,,,5,2,3,5,2,3,
Sean Payton,2016,NOR,16,7,9,0,208,131,77,0,208,131,77,0,,,,15,8,7,15,8,7,
Bill Belichick,2016,NWE,16,14,2,0,320,237,83,0,400,273,127,0,3,3,0,41,30,11,43,31,12,Super Bowl Champions
Ben McAdoo,2016,NYG,16,11,5,0,28,13,15,0,28,13,15,0,1,0,1,1,0,1,1,0,1,
Todd Bowles,2016,NYJ,16,5,11,0,64,24,40,0,67,26,41,0,,,,,,,0,0,0,
Jack Del Rio,2016,OAK,16,12,4,0,48,25,23,0,187,93,94,0,1,0,1,1,0,1,4,1,3,
Doug Pederson,2016,PHI,16,7,9,0,64,38,26,0,64,38,26,0,,,,6,4,2,6,4,2,
Mike Tomlin,2016,PIT,16,11,5,0,208,133,74,1,208,133,74,1,3,2,1,15,8,7,15,8,7,
Mike McCoy,2016,SDG,16,5,11,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,
Pete Carroll,2016,SEA,16,10,5,1,160,100,59,1,224,133,90,1,2,1,1,17,10,7,20,11,9,
Chip Kelly,2016,SFO,16,2,14,0,16,2,14,0,63,28,35,0,,,,,,,1,0,1,
Dirk Koetter,2016,TAM,16,9,7,0,48,19,29,0,48,19,29,0,,,,,,,,,,
Mike Mularkey,2016,TEN,16,9,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,
Jay Gruden,2016,WAS,16,8,7,1,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
