Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Ken Whisenhunt,2012,ARI,16,5,11,0,96,45,51,0,119,48,71,0,0,0,0,6,4,2,6,4,2,
Mike Smith,2012,ATL,16,13,3,0,112,66,46,0,112,66,46,0,2,1,1,5,1,4,5,1,4,
John Harbaugh,2012,BAL,16,10,6,0,192,118,74,0,192,118,74,0,4,4,0,17,10,7,17,10,7,Super Bowl Champions
Chan Gailey,2012,BUF,16,6,10,0,48,16,32,0,80,34,46,0,0,0,0,0,0,0,2,0,2,
Ron Rivera,2012,CAR,16,7,9,0,140,76,63,1,140,76,63,1,0,0,0,7,3,4,7,3,4,
Lovie Smith,2012,CHI,16,10,6,0,144,81,63,0,176,89,87,0,0,0,0,6,3,3,6,3,3,
Marvin Lewis,2012,CIN,16,10,6,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Pat Shurmur,2012,CLE,16,5,11,0,32,9,23,0,65,19,46,0,0,0,0,0,0,0,0,0,0,
Jason Garrett,2012,DAL,16,8,8,0,152,85,67,0,152,85,67,0,0,0,0,5,2,3,5,2,3,
John Fox,2012,DEN,16,13,3,0,64,46,18,0,256,133,123,0,1,0,1,7,3,4,15,8,7,
Jim Schwartz,2012,DET,16,4,12,0,80,29,51,0,80,29,51,0,0,0,0,1,0,1,1,0,1,
Mike McCarthy,2012,GNB,16,11,5,0,204,125,77,2,204,125,77,2,2,1,1,18,10,8,18,10,8,
Gary Kubiak,2012,HOU,16,12,4,0,125,61,64,0,157,82,75,0,2,1,1,4,2,2,7,5,2,
Chuck Pagano,2012,IND,16,11,5,0,96,53,43,0,96,53,43,0,1,0,1,6,3,3,6,3,3,Missed 12 games due to cancer treatments
Mike Mularkey,2012,JAX,16,2,14,0,16,2,14,0,89,36,53,0,0,0,0,0,0,0,2,1,1,
Romeo Crennel,2012,KAN,16,2,14,0,19,4,15,0,83,28,55,0,0,0,0,0,0,0,0,0,0,
Joe Philbin,2012,MIA,16,7,9,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,
Leslie Frazier,2012,MIN,16,10,6,0,54,21,32,1,54,21,32,1,1,0,1,1,0,1,1,0,1,
Aaron Kromer,2012,NOR,6,2,4,0,6,2,4,0,6,2,4,0,0,0,0,0,0,0,0,0,0,
Joe Vitt,2012,NOR,10,5,5,0,10,5,5,0,21,9,12,0,0,0,0,0,0,0,0,0,0,
Bill Belichick,2012,NWE,16,12,4,0,320,237,83,0,400,273,127,0,2,1,1,41,30,11,43,31,12,
Tom Coughlin,2012,NYG,16,9,7,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
Rex Ryan,2012,NYJ,16,6,10,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,
Dennis Allen,2012,OAK,16,4,12,0,36,8,28,0,36,8,28,0,0,0,0,0,0,0,0,0,0,
Andy Reid,2012,PHI,16,4,12,0,224,130,93,1,336,207,128,1,0,0,0,19,10,9,29,15,14,
Mike Tomlin,2012,PIT,16,8,8,0,208,133,74,1,208,133,74,1,0,0,0,15,8,7,15,8,7,
Norv Turner,2012,SDG,16,7,9,0,96,56,40,0,237,114,122,1,0,0,0,6,3,3,8,4,4,
Pete Carroll,2012,SEA,16,11,5,0,160,100,59,1,224,133,90,1,2,1,1,17,10,7,20,11,9,
Jim Harbaugh,2012,SFO,16,11,4,1,64,44,19,1,64,44,19,1,3,2,1,8,5,3,8,5,3,NFC Champions
Jeff Fisher,2012,STL,16,7,8,1,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,
Greg Schiano,2012,TAM,16,7,9,0,32,11,21,0,32,11,21,0,0,0,0,0,0,0,0,0,0,
Mike Munchak,2012,TEN,16,6,10,0,48,22,26,0,48,22,26,0,0,0,0,0,0,0,0,0,0,
Mike Shanahan,2012,WAS,16,10,6,0,64,24,40,0,308,170,138,0,1,0,1,1,0,1,14,8,6,
