Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Bruce Arians,2017,ARI,16,8,8,0,80,49,30,1,96,56,39,1,,,,3,1,2,3,1,2,
Dan Quinn,2017,ATL,16,10,6,0,80,43,37,0,80,43,37,0,2,1,1,5,3,2,5,3,2,
John Harbaugh,2017,BAL,16,9,7,0,192,118,74,0,192,118,74,0,,,,17,10,7,17,10,7,
Sean McDermott,2017,BUF,16,9,7,0,48,25,23,0,48,25,23,0,1,0,1,2,0,2,2,0,2,
Ron Rivera,2017,CAR,16,11,5,0,140,76,63,1,140,76,63,1,1,0,1,7,3,4,7,3,4,
John Fox,2017,CHI,16,5,11,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
Marvin Lewis,2017,CIN,16,7,9,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
Hue Jackson,2017,CLE,16,0,16,0,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
Jason Garrett,2017,DAL,16,9,7,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,
Vance Joseph,2017,DEN,16,5,11,0,32,11,21,0,32,11,21,0,,,,,,,,,,
Jim Caldwell,2017,DET,16,9,7,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,
Mike McCarthy,2017,GNB,16,7,9,0,204,125,77,2,204,125,77,2,,,,18,10,8,18,10,8,
Bill O'Brien,2017,HOU,16,4,12,0,96,52,44,0,96,52,44,0,,,,6,2,4,6,2,4,
Chuck Pagano,2017,IND,16,4,12,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
Doug Marrone,2017,JAX,16,10,6,0,50,22,28,0,82,37,45,0,3,2,1,3,2,1,3,2,1,
Andy Reid,2017,KAN,16,10,6,0,112,77,35,0,336,207,128,1,1,0,1,10,5,5,29,15,14,
Anthony Lynn,2017,LAC,16,9,7,0,48,26,22,0,49,26,23,0,,,,2,1,1,2,1,1,
Sean McVay,2017,LAR,16,11,5,0,48,33,15,0,48,33,15,0,1,0,1,4,2,2,4,2,2,
Adam Gase,2017,MIA,16,6,10,0,48,23,25,0,64,30,34,0,,,,1,0,1,1,0,1,
Mike Zimmer,2017,MIN,16,13,3,0,96,57,38,1,96,57,38,1,2,1,1,5,2,3,5,2,3,
Sean Payton,2017,NOR,16,11,5,0,208,131,77,0,208,131,77,0,2,1,1,15,8,7,15,8,7,
Bill Belichick,2017,NWE,16,13,3,0,320,237,83,0,400,273,127,0,3,2,1,41,30,11,43,31,12,AFC Champions
Ben McAdoo,2017,NYG,12,2,10,0,28,13,15,0,28,13,15,0,,,,1,0,1,1,0,1,Fired 12/04
Steve Spagnuolo,2017,NYG,4,1,3,0,4,1,3,0,52,11,41,0,,,,,,,0,0,0,Started 12/04
Todd Bowles,2017,NYJ,16,5,11,0,64,24,40,0,67,26,41,0,,,,,,,0,0,0,
Jack Del Rio,2017,OAK,16,6,10,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,
Doug Pederson,2017,PHI,16,13,3,0,64,38,26,0,64,38,26,0,3,3,0,6,4,2,6,4,2,Super Bowl Champions
Mike Tomlin,2017,PIT,16,13,3,0,208,133,74,1,208,133,74,1,1,0,1,15,8,7,15,8,7,
Pete Carroll,2017,SEA,16,9,7,0,160,100,59,1,224,133,90,1,,,,17,10,7,20,11,9,
Kyle Shanahan,2017,SFO,16,6,10,0,48,23,25,0,48,23,25,0,,,,3,2,1,3,2,1,
Dirk Koetter,2017,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,
Mike Mularkey,2017,TEN,16,9,7,0,41,20,21,0,89,36,53,0,2,1,1,2,1,1,2,1,1,
Jay Gruden,2017,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
