Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Solo,Int,Sk,College/Univ
2016,3,81,ATL,Austin Hooper,TE,21,2019,0,2,2,19,19,59,0,0,0,0,0,0,0,0,214,2244,16,,,,Stanford
2016,3,82,IND,Le'Raven Clark,T,23,2018,0,0,0,7,7,35,0,0,0,0,0,0,0,0,0,0,0,,,,Texas Tech
2016,3,83,NYJ,Jordan Jenkins,OLB,22,2019,0,0,4,23,23,60,0,0,0,0,0,0,0,0,0,0,0,100,,20.5,Georgia
2016,3,84,WAS,Kendall Fuller,CB,21,2019,0,0,0,11,6,55,0,0,0,0,0,0,0,0,0,0,0,173,6,1,Virginia Tech
2016,3,85,HOU,Braxton Miller,WR,23,2017,0,0,0,2,2,21,0,0,0,0,0,4,1,0,34,261,2,,,,Ohio St.
2016,3,86,MIA,Leonte Carroo,WR,22,2018,0,0,0,2,2,37,0,0,0,0,0,1,14,0,12,192,2,2,,,Rutgers
2016,3,87,CIN,Nick Vigil,ILB,23,2019,0,0,3,17,17,54,0,0,0,0,0,0,0,0,0,0,0,182,2,2,Utah St.
2016,3,88,GNB,Kyler Fackrell,OLB,24,2019,0,0,0,10,10,61,0,0,0,0,0,0,0,0,0,0,0,80,,16.5,Utah St.
2016,3,89,PIT,Javon Hargrave,DT,23,2019,0,0,4,25,25,63,0,0,0,0,0,0,0,0,0,0,0,106,,14.5,South Carolina St.
2016,3,90,SEA,C.J. Prosise,RB,22,2019,0,0,0,5,5,25,0,0,0,0,0,65,264,2,36,393,0,,,,Notre Dame
2016,3,91,NWE,Jacoby Brissett,QB,23,2019,0,0,2,23,2,38,584,975,6442,31,13,142,564,9,1,2,0,,,,North Carolina St.
2016,3,92,ARI,Brandon Williams,CB,23,2018,0,0,0,4,4,45,0,0,0,0,0,0,0,0,0,0,0,32,,,Texas A&M
2016,3,93,CLE,Cody Kessler,QB,23,2018,0,0,1,5,3,17,224,349,2215,8,5,31,140,0,0,0,0,,,,USC
2016,3,94,SEA,Nick Vannett,TE,23,2019,0,0,1,5,4,55,0,0,0,0,0,0,0,0,61,591,4,1,,,Ohio St.
2016,3,95,DET,Graham Glasgow,C,24,2019,0,0,3,26,26,62,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
2016,3,96,NWE,Vincent Valentine,DT,22,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,11,,1,Nebraska
2016,3,97,SEA,Rees Odhiambo,G,23,2018,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Boise St.
2016,3,98,DEN,Justin Simmons,S,22,2019,0,0,3,25,25,58,0,0,0,0,0,0,0,0,0,0,0,211,11,2,Boston Col.
2016,4,99,CLE,Joe Schobert,OLB,22,2019,0,1,3,26,26,61,0,0,0,0,0,0,0,0,0,0,0,252,6,8.5,Wisconsin
2016,4,100,OAK,Connor Cook,QB,23,2016,0,0,0,0,0,1,14,21,150,1,1,0,0,0,0,0,0,,,,Michigan St.
2016,4,101,DAL,Charles Tapper,DE,23,2017,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,1,Oklahoma
2016,4,102,SDG,Joshua Perry,ILB,22,2017,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,16,,,Ohio St.
2016,4,103,JAX,Sheldon Day,DT,22,2019,0,0,0,6,2,56,0,0,0,0,0,0,0,0,0,0,0,38,,6,Notre Dame
2016,4,104,BAL,Tavon Young,CB,22,2018,0,0,1,10,10,31,0,0,0,0,0,0,0,0,0,0,0,79,3,2,Temple
2016,4,105,KAN,Parker Ehinger,G,23,2019,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati
2016,4,106,KAN,Eric Murray,CB,22,2019,0,0,1,7,5,54,0,0,0,0,0,0,0,0,0,0,0,98,1,2,Minnesota
2016,4,107,BAL,Chris Moore,WR,23,2019,0,0,0,4,4,58,0,0,0,0,0,11,27,0,47,511,4,9,,,Cincinnati
2016,4,108,TAM,Ryan Smith,CB,23,2019,0,0,1,8,8,57,0,0,0,0,0,0,0,0,0,0,0,94,1,,North Carolina Central
2016,4,109,NYG,B.J. Goodson,OLB,23,2019,0,0,2,14,10,52,0,0,0,0,0,0,0,0,0,0,0,109,2,0.5,Clemson
2016,4,110,LAR,Tyler Higbee,TE,23,2019,0,0,3,12,12,63,0,0,0,0,0,0,0,0,129,1406,7,2,,,Western Kentucky
2016,4,111,DET,Miles Killebrew,S,23,2019,0,0,0,5,5,63,0,0,0,0,0,0,0,0,0,0,0,78,2,,Southern Utah
2016,4,112,NWE,Malcolm Mitchell,WR,24,2016,0,0,0,4,4,14,0,0,0,0,0,0,0,0,32,401,4,,,,Georgia
2016,4,113,CHI,Nick Kwiatkoski,ILB,23,2019,0,0,1,15,15,57,0,0,0,0,0,0,0,0,0,0,0,139,1,6,West Virginia
2016,4,114,CLE,Ricardo Louis,WR,22,2017,0,0,1,3,3,32,0,0,0,0,0,0,0,0,45,562,0,11,,,Auburn
2016,4,115,ATL,De'Vondre Campbell,OLB,23,2019,0,0,4,26,26,59,0,0,0,0,0,0,0,0,0,0,0,234,3,5.5,Minnesota
2016,4,116,IND,Hassan Ridgeway,DT,21,2019,0,0,0,8,5,41,0,0,0,0,0,0,0,0,0,0,0,23,,6.5,Texas
2016,4,117,LAR,Pharoh Cooper,WR,21,2019,1,1,0,5,3,46,0,1,0,0,1,2,8,0,50,433,1,1,,,South Carolina
2016,4,118,NYJ,Juston Burris,CB,23,2019,0,0,1,7,3,52,0,0,0,0,0,0,0,0,0,0,0,60,4,1,North Carolina St.
2016,4,119,HOU,Tyler Ervin,RB,22,2019,0,0,0,0,0,35,0,0,0,0,0,6,25,0,16,102,0,4,,,San Jose St.
2016,4,120,NOR,David Onyemata,DT,23,2019,0,0,1,13,13,63,0,0,0,0,0,0,0,0,0,0,0,74,,9.5,Manitoba
2016,4,121,MIN,Willie Beavers,T,22,2016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan
2016,4,122,CIN,Andrew Billings,NT,21,2019,0,0,2,14,14,47,0,0,0,0,0,0,0,0,0,0,0,49,,3.5,Baylor
2016,4,123,PIT,Jerald Hawkins,T,22,2019,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,LSU
2016,4,124,CHI,Deon Bush,S,23,2019,0,0,0,5,5,54,0,0,0,0,0,0,0,0,0,0,0,37,,1,Miami (FL)
2016,4,125,IND,Antonio Morrison,ILB,21,2018,0,0,2,13,9,47,0,1,0,0,0,0,0,0,0,0,0,124,,1,Florida
