Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Steve Wilks,2018,ARI,16,3,13,0,16,3,13,0,16,3,13,0,,,,,,,,,,
Dan Quinn,2018,ATL,16,7,9,0,80,43,37,0,80,43,37,0,0,0,0,5,3,2,5,3,2,
John Harbaugh,2018,BAL,16,10,6,0,192,118,74,0,192,118,74,0,1,0,1,17,10,7,17,10,7,
Sean McDermott,2018,BUF,16,6,10,0,48,25,23,0,48,25,23,0,0,0,0,2,0,2,2,0,2,
Ron Rivera,2018,CAR,16,7,9,0,140,76,63,1,140,76,63,1,,,,7,3,4,7,3,4,
Matt Nagy,2018,CHI,16,12,4,0,32,20,12,0,32,20,12,0,1,0,1,1,0,1,1,0,1,
Marvin Lewis,2018,CIN,16,6,10,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
Hue Jackson,2018,CLE,8,2,5,1,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
Gregg Williams,2018,CLE,8,5,3,0,8,5,3,0,56,22,34,0,,,,,,,0,0,0,
Jason Garrett,2018,DAL,16,10,6,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,
Vance Joseph,2018,DEN,16,6,10,0,32,11,21,0,32,11,21,0,,,,,,,,,,
Matt Patricia,2018,DET,16,6,10,0,32,9,22,1,32,9,22,1,,,,0,0,0,0,0,0,
Mike McCarthy,2018,GNB,12,4,7,1,204,125,77,2,204,125,77,2,,,,18,10,8,18,10,8,Fired after Week 13
Joe Philbin,2018,GNB,4,2,2,0,4,2,2,0,56,26,30,0,,,,,,,0,0,0,Interim coach after Week 13
Bill O'Brien,2018,HOU,16,11,5,0,96,52,44,0,96,52,44,0,1,0,1,6,2,4,6,2,4,
Frank Reich,2018,IND,16,10,6,0,32,17,15,0,32,17,15,0,2,1,1,2,1,1,2,1,1,
Doug Marrone,2018,JAX,16,5,11,0,50,22,28,0,82,37,45,0,,,,3,2,1,3,2,1,
Andy Reid,2018,KAN,16,12,4,0,112,77,35,0,336,207,128,1,2,1,1,10,5,5,29,15,14,
Anthony Lynn,2018,LAC,16,12,4,0,48,26,22,0,49,26,23,0,2,1,1,2,1,1,2,1,1,
Sean McVay,2018,LAR,16,13,3,0,48,33,15,0,48,33,15,0,3,2,1,4,2,2,4,2,2,NFC Champions
Adam Gase,2018,MIA,16,7,9,0,48,23,25,0,64,30,34,0,,,,1,0,1,1,0,1,
Mike Zimmer,2018,MIN,16,8,7,1,96,57,38,1,96,57,38,1,,,,5,2,3,5,2,3,
Sean Payton,2018,NOR,16,13,3,0,208,131,77,0,208,131,77,0,2,1,1,15,8,7,15,8,7,
Bill Belichick,2018,NWE,16,11,5,0,320,237,83,0,400,273,127,0,3,3,0,41,30,11,43,31,12,Super Bowl Champions
Pat Shurmur,2018,NYG,16,5,11,0,32,9,23,0,65,19,46,0,,,,,,,0,0,0,
Todd Bowles,2018,NYJ,16,4,12,0,64,24,40,0,67,26,41,0,,,,,,,0,0,0,
Jon Gruden,2018,OAK,16,4,12,0,96,49,47,0,208,106,102,0,,,,4,2,2,9,5,4,
Doug Pederson,2018,PHI,16,9,7,0,64,38,26,0,64,38,26,0,2,1,1,6,4,2,6,4,2,
Mike Tomlin,2018,PIT,16,9,6,1,208,133,74,1,208,133,74,1,,,,15,8,7,15,8,7,
Pete Carroll,2018,SEA,16,10,6,0,160,100,59,1,224,133,90,1,1,0,1,17,10,7,20,11,9,
Kyle Shanahan,2018,SFO,16,4,12,0,48,23,25,0,48,23,25,0,,,,3,2,1,3,2,1,
Dirk Koetter,2018,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,
Mike Vrabel,2018,TEN,16,9,7,0,32,18,14,0,32,18,14,0,,,,3,2,1,3,2,1,
Jay Gruden,2018,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
