Coach,Year,Tm,G,W,L,T,wTeam_G,wTeam_W,wTeam_L,wTeam_T,Career_G,Career_W,Career_L,Career_T,G_yearplyf,W_yearplyf,L_yearplyf,G_wTeamplyf,W_wTeamplyf,L_wTeamplyf,G_Careerplyf,W_Careerplyf,L_Careerplyf,Remark
Ken Whisenhunt,2011,ARI,16,8,8,0,96,45,51,0,119,48,71,0,0,0,0,6,4,2,6,4,2,
Mike Smith,2011,ATL,16,10,6,0,112,66,46,0,112,66,46,0,1,0,1,5,1,4,5,1,4,
John Harbaugh,2011,BAL,16,12,4,0,192,118,74,0,192,118,74,0,2,1,1,17,10,7,17,10,7,
Chan Gailey,2011,BUF,16,6,10,0,48,16,32,0,80,34,46,0,0,0,0,0,0,0,2,0,2,
Ron Rivera,2011,CAR,16,6,10,0,140,76,63,1,140,76,63,1,0,0,0,7,3,4,7,3,4,
Lovie Smith,2011,CHI,16,8,8,0,144,81,63,0,176,89,87,0,0,0,0,6,3,3,6,3,3,
Marvin Lewis,2011,CIN,16,9,7,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Pat Shurmur,2011,CLE,16,4,12,0,32,9,23,0,65,19,46,0,0,0,0,0,0,0,0,0,0,
Jason Garrett,2011,DAL,16,8,8,0,152,85,67,0,152,85,67,0,0,0,0,5,2,3,5,2,3,
John Fox,2011,DEN,16,8,8,0,64,46,18,0,256,133,123,0,2,1,1,7,3,4,15,8,7,
Jim Schwartz,2011,DET,16,10,6,0,80,29,51,0,80,29,51,0,1,0,1,1,0,1,1,0,1,
Mike McCarthy,2011,GNB,16,15,1,0,204,125,77,2,204,125,77,2,1,0,1,18,10,8,18,10,8,
Gary Kubiak,2011,HOU,16,10,6,0,125,61,64,0,157,82,75,0,2,1,1,4,2,2,7,5,2,
Jim Caldwell,2011,IND,16,2,14,0,48,26,22,0,112,62,50,0,0,0,0,4,2,2,6,2,4,
Jack Del Rio,2011,JAX,11,3,8,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,Fired after Week 12
Mel Tucker,2011,JAX,5,2,3,0,5,2,3,0,5,2,3,0,0,0,0,0,0,0,0,0,0,
Romeo Crennel,2011,KAN,3,2,1,0,19,4,15,0,83,28,55,0,0,0,0,0,0,0,0,0,0,
Todd Haley,2011,KAN,13,5,8,0,45,19,26,0,45,19,26,0,0,0,0,1,0,1,1,0,1,Fired after week 14
Todd Bowles,2011,MIA,3,2,1,0,3,2,1,0,67,26,41,0,0,0,0,0,0,0,0,0,0,
Tony Sparano,2011,MIA,13,4,9,0,61,29,32,0,73,32,41,0,0,0,0,1,0,1,1,0,1,Fired after week 14
Leslie Frazier,2011,MIN,16,3,13,0,54,21,32,1,54,21,32,1,0,0,0,1,0,1,1,0,1,
Sean Payton,2011,NOR,16,13,3,0,208,131,77,0,208,131,77,0,2,1,1,15,8,7,15,8,7,
Bill Belichick,2011,NWE,16,13,3,0,320,237,83,0,400,273,127,0,3,2,1,41,30,11,43,31,12,AFC Champions
Tom Coughlin,2011,NYG,16,9,7,0,192,102,90,0,320,170,150,0,4,4,0,11,8,3,19,12,7,Super Bowl Champions
Rex Ryan,2011,NYJ,16,8,8,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,
Hue Jackson,2011,OAK,16,8,8,0,16,8,8,0,56,11,44,1,0,0,0,0,0,0,0,0,0,
Andy Reid,2011,PHI,16,8,8,0,224,130,93,1,336,207,128,1,0,0,0,19,10,9,29,15,14,
Mike Tomlin,2011,PIT,16,12,4,0,208,133,74,1,208,133,74,1,1,0,1,15,8,7,15,8,7,
Norv Turner,2011,SDG,16,8,8,0,96,56,40,0,237,114,122,1,0,0,0,6,3,3,8,4,4,
Pete Carroll,2011,SEA,16,7,9,0,160,100,59,1,224,133,90,1,0,0,0,17,10,7,20,11,9,
Jim Harbaugh,2011,SFO,16,13,3,0,64,44,19,1,64,44,19,1,2,1,1,8,5,3,8,5,3,
Steve Spagnuolo,2011,STL,16,2,14,0,48,10,38,0,52,11,41,0,0,0,0,0,0,0,0,0,0,
Raheem Morris,2011,TAM,16,4,12,0,48,17,31,0,48,17,31,0,0,0,0,0,0,0,0,0,0,
Mike Munchak,2011,TEN,16,9,7,0,48,22,26,0,48,22,26,0,0,0,0,0,0,0,0,0,0,
Mike Shanahan,2011,WAS,16,5,11,0,64,24,40,0,308,170,138,0,0,0,0,1,0,1,14,8,6,
